"LEM1","Lenguaje musical Nivel 1 módulo 1","FOBA",1,,4,"S","promoción",
"LEM2","Lenguaje musical Nivel 1 módulo 2",,1,,4,"S","examen",
"IM1CA","Instrumento Nivel 1 módulo 1 (canto)",,1,,1,"S","promoción",
"IM2CA","Instrumento Nivel 1 módulo 2 (canto)",,1,,1,"S","examen",
"DI","Dicción italiana ",,1,,2,"A","promoción",
"F1","Foniatría I ",,1,,2,"A","promoción",
"TC1","Trabajo Corporal I ",,1,,2,"A","promoción",
"LEM3","Lenguaje musical Nivel 2 módulo 3","FOBA",2,"LEM2",4,"S","promoción",
"LEM4","Lenguaje musical Nivel 2 módulo 4",,2,,4,"S","examen",
"IM3CA","Instrumento Nivel 2 módulo 3 (canto)",,2,"LEM2,IM2CA",1,"S","promoción",
"IM4CA","Instrumento Nivel 2 módulo 4 (canto)",,2,,1,"S","examen",
"AP1","Apreciación musical I",,2,"IM2CA,LEM2",2,"A","promoción",
"DA","Dicción alemana",,2,,2,"A","promoción",
"F2","Foniatría II",,2,"F1",2,"A","promoción",
"TC2","Trabajo Corporal II",,2,"TC1",2,"A","promoción",
"RP1","Repertorio 1",,2,"LEM2,IM2CA",1,"A","examen",
"IAP1","Instrumento armónico piano 1",,2,"LEM2",1,"A","examen",
"LEM5","Lenguaje musical Nivel 3 módulo 5","FOBA",3,"LEM4",4,"S","promoción",
"LEM6","Lenguaje musical Nivel 3 módulo 6",,3,,4,"S","examen",
"IM5CA","Instrumento Nivel 3 módulo 5 (canto)",,3,"LEM4,IM4CA,RP1,DI",1,"S","promoción",
"IM6CA","Instrumento Nivel 3 módulo 6 (canto)",,3,,1,"S","examen",
"AP2","Apreciación musical I",,3,"IM4CA,LEM4",2,"A","promoción",
"DF","Dicción francesa",,3,,2,"A","promoción",
"PCVI1","Práctica de conjunto Vocal e Instrumental I",,3,"IM2CA,LEM4",2,"A","promoción",
"RP2","Repertorio 2",,3,"LEM4,IM4CA,RP1,DI",1,"A","examen",
"IAP2","Instrumento armónico piano 2",,3,"LEM4",1,"A","examen",
